date,nav_gbp
2025-01-01,0.0
2025-01-02,137997.975775722
2025-01-03,137888.97041251406
2025-01-04,137888.97041251406
2025-01-05,137888.97041251406
2025-01-06,136694.34778114478
2025-01-07,136049.91222256204
2025-01-08,134856.41081037337
2025-01-09,137449.19766675445
2025-01-10,137770.945845565
2025-01-11,137770.945845565
2025-01-12,137770.945845565
2025-01-13,134151.0868025677
2025-01-14,133594.55319428953
2025-01-15,134335.64961805934
2025-01-16,139255.45645858577
2025-01-17,140183.60176529118
2025-01-18,140183.60176529118
2025-01-19,140183.60176529118
2025-01-20,141560.64280639667
2025-01-21,139373.66767852963
2025-01-22,138177.72399067102
2025-01-23,138710.61867212635
2025-01-24,138326.41845131668
2025-01-25,138326.41845131668
2025-01-26,138326.41845131668
2025-01-27,138366.0979786931
2025-01-28,141008.25330075363
2025-01-29,140677.12875871203
2025-01-30,143444.73135152672
2025-01-31,144064.56637092028
2025-02-01,144064.56637092028
2025-02-02,144064.56637092028
2025-02-03,143760.8652481751
2025-02-04,144558.79425743036
2025-02-05,144702.45262477797
2025-02-06,143618.73730241603
2025-02-07,142707.12208089125
2025-02-08,142707.12208089125
2025-02-09,142707.12208089125
2025-02-10,144141.62129120834
2025-02-11,143380.65795620836
2025-02-12,143738.44623759115
2025-02-13,145161.03686974812
2025-02-14,143870.47969769192
2025-02-15,143870.47969769192
2025-02-16,143870.47969769192
2025-02-17,144175.22646979665
2025-02-18,141838.76043182297
2025-02-19,140850.63798169923
2025-02-20,139956.4703355175
2025-02-21,140018.29340765826
2025-02-22,140018.29340765826
2025-02-23,140018.29340765826
2025-02-24,33119.75771592467
2025-02-25,33009.92945348018
2025-02-26,33174.910780213395
2025-02-27,32942.31130513062
2025-02-28,33875.86202457019
2025-03-01,33875.86202457019
2025-03-02,33875.86202457019
2025-03-03,33505.348514526675
2025-03-04,32932.880290419744
2025-03-05,33446.75636999579
2025-03-06,33404.049268546005
2025-03-07,33418.75727378265
2025-03-08,33418.75727378265
2025-03-09,33418.75727378265
2025-03-10,32813.66170147293
2025-03-11,32386.06458044737
2025-03-12,32980.11895693319
2025-03-13,32689.56288031589
2025-03-14,33437.14767431126
2025-03-15,33437.14767431126
2025-03-16,33437.14767431126
2025-03-17,33081.07356283667
2025-03-18,32360.467895509984
2025-03-19,33044.419715461125
2025-03-20,32996.99144403534
2025-03-21,32913.47494318634
2025-03-22,32913.47494318634
2025-03-23,32913.47494318634
2025-03-24,33242.70242291596
2025-03-25,33175.5134641626
2025-03-26,32809.30443392563
2025-03-27,32438.751159894106
2025-03-28,32107.03797040329
2025-03-29,32107.03797040329
2025-03-30,32107.03797040329
2025-03-31,32823.293850983275
2025-04-01,33235.20923291382
2025-04-02,33051.52755006104
2025-04-03,32068.00581062988
2025-04-04,30843.01438122772
2025-04-05,30843.01438122772
2025-04-06,30843.01438122772
2025-04-07,29859.692157875677
2025-04-08,30779.35160660339
2025-04-09,31535.004859948727
2025-04-10,31909.989699558108
2025-04-11,32247.693618392943
2025-04-12,32247.693618392943
2025-04-13,32247.693618392943
2025-04-14,32678.3090640332
2025-04-15,33080.797938238524
2025-04-16,32901.42408763306
2025-04-17,32883.90765278321
2025-04-18,32883.90765278321
2025-04-19,32883.90765278321
2025-04-20,32883.90765278321
2025-04-21,32883.90765278321
2025-04-22,32988.84321560974
2025-04-23,33469.78969410645
2025-04-24,33666.217651964114
2025-04-25,34241.34625768982
2025-04-26,34241.34625768982
2025-04-27,34241.34625768982
2025-04-28,34182.113023193364
2025-04-29,34286.48306386047
2025-04-30,34754.341655780336
2025-05-01,34530.94897023346
2025-05-02,35279.328160936886
2025-05-03,35279.328160936886
2025-05-04,35279.328160936886
2025-05-05,35272.908105876464
2025-05-06,35306.66312518433
2025-05-07,34718.80836354126
2025-05-08,34841.15054215057
2025-05-09,35281.08889700104
2025-05-10,35281.08889700104
2025-05-11,35281.08889700104
2025-05-12,35567.973299017336
2025-05-13,35735.67135298828
2025-05-14,35880.02128024903
2025-05-15,35731.167259341426
2025-05-16,35980.10643837005
2025-05-17,35980.10643837005
2025-05-18,35980.10643837005
2025-05-19,36187.56560379578
2025-05-20,36325.23159678161
2025-05-21,36650.68758181457
2025-05-22,36469.769485162346
2025-05-23,35728.695504733274
2025-05-24,35728.695504733274
2025-05-25,35728.695504733274
2025-05-26,35728.695504733274
2025-05-27,35879.88347623169
2025-05-28,35758.46423037156
2025-05-29,35954.56861013855
2025-05-30,35873.51636503998
2025-05-31,35873.51636503998
2025-06-01,35873.51636503998
